Player,Team,batting_score,bowling_score,overall_score,Overall E(D),Season,Season_Adj,Player_team,Player_team_season,Salaries
A Mishra,Delhi Daredevils,-13.37,64.8,51.43,51.43,2007_08,2007_08,A Mishra|Delhi Daredevils,A Mishra|Delhi Daredevils|2007_08,#N/A
A Nehra,Mumbai Indians,-7.9,20.61,12.71,12.71,2007_08,2007_08,A Nehra|Mumbai Indians,A Nehra|Mumbai Indians|2007_08,#N/A
AC Gilchrist,Deccan Chargers,21.23,0,21.23,21.23,2007_08,2007_08,AC Gilchrist|Deccan Chargers,AC Gilchrist|Deccan Chargers|2007_08,#N/A
DJ Hussey,Kolkata Knight Riders,-32.26,-54.62,-86.88,-86.87,2007_08,2007_08,DJ Hussey|Kolkata Knight Riders,DJ Hussey|Kolkata Knight Riders|2007_08,#N/A
DS Kulkarni,Mumbai Indians,-5.39,-5.01,-10.4,-10.4,2007_08,2007_08,DS Kulkarni|Mumbai Indians,DS Kulkarni|Mumbai Indians|2007_08,#N/A
DW Steyn,Royal Challengers Bangalore,-0.75,120.74,119.99,119.99,2007_08,2007_08,DW Steyn|Royal Challengers Bangalore,DW Steyn|Royal Challengers Bangalore|2007_08,#N/A
G Gambhir,Delhi Daredevils,25,0,25,25,2007_08,2007_08,G Gambhir|Delhi Daredevils,G Gambhir|Delhi Daredevils|2007_08,#N/A
GC Smith,Rajasthan Royals,-16.44,0,-16.44,-16.44,2007_08,2007_08,GC Smith|Rajasthan Royals,GC Smith|Rajasthan Royals|2007_08,#N/A
GD McGrath,Delhi Daredevils,1.25,207.24,208.49,208.49,2007_08,2007_08,GD McGrath|Delhi Daredevils,GD McGrath|Delhi Daredevils|2007_08,#N/A
IK Pathan,Kings XI Punjab,-9.52,201.52,192,192,2007_08,2007_08,IK Pathan|Kings XI Punjab,IK Pathan|Kings XI Punjab|2007_08,#N/A
JA Morkel,Chennai Super Kings,21.4,-64.65,-43.25,-43.25,2007_08,2007_08,JA Morkel|Chennai Super Kings,JA Morkel|Chennai Super Kings|2007_08,#N/A
JR Hopes,Kings XI Punjab,33.76,-196.16,-162.4,-162.4,2007_08,2007_08,JR Hopes|Kings XI Punjab,JR Hopes|Kings XI Punjab|2007_08,#N/A
KC Sangakkara,Kings XI Punjab,65.05,0,65.05,65.05,2007_08,2007_08,KC Sangakkara|Kings XI Punjab,KC Sangakkara|Kings XI Punjab|2007_08,#N/A
L Balaji,Chennai Super Kings,-4.19,-56.7,-60.89,-60.89,2007_08,2007_08,L Balaji|Chennai Super Kings,L Balaji|Chennai Super Kings|2007_08,#N/A
M Muralitharan,Chennai Super Kings,0,104.81,104.81,104.81,2007_08,2007_08,M Muralitharan|Chennai Super Kings,M Muralitharan|Chennai Super Kings|2007_08,#N/A
MF Maharoof,Delhi Daredevils,27.44,105.16,132.6,132.6,2007_08,2007_08,MF Maharoof|Delhi Daredevils,MF Maharoof|Delhi Daredevils|2007_08,#N/A
MM Patel,Rajasthan Royals,-0.55,34.52,33.97,33.97,2007_08,2007_08,MM Patel|Rajasthan Royals,MM Patel|Rajasthan Royals|2007_08,#N/A
MS Dhoni,Chennai Super Kings,-22.32,0,-22.32,-22.32,2007_08,2007_08,MS Dhoni|Chennai Super Kings,MS Dhoni|Chennai Super Kings|2007_08,#N/A
MS Gony,Chennai Super Kings,8.07,89.82,97.89,97.89,2007_08,2007_08,MS Gony|Chennai Super Kings,MS Gony|Chennai Super Kings|2007_08,#N/A
MV Boucher,Royal Challengers Bangalore,1.48,0,1.48,1.48,2007_08,2007_08,MV Boucher|Royal Challengers Bangalore,MV Boucher|Royal Challengers Bangalore|2007_08,#N/A
P Kumar,Royal Challengers Bangalore,-7.94,-54.8,-62.74,-62.74,2007_08,2007_08,P Kumar|Royal Challengers Bangalore,P Kumar|Royal Challengers Bangalore|2007_08,#N/A
PA Patel,Chennai Super Kings,-103.65,0,-103.65,-103.65,2007_08,2007_08,PA Patel|Chennai Super Kings,PA Patel|Chennai Super Kings|2007_08,#N/A
PP Chawla,Kings XI Punjab,16.84,-40.22,-23.38,-23.38,2007_08,2007_08,PP Chawla|Kings XI Punjab,PP Chawla|Kings XI Punjab|2007_08,#N/A
PP Ojha,Deccan Chargers,-1.35,-31.71,-33.06,-33.07,2007_08,2007_08,PP Ojha|Deccan Chargers,PP Ojha|Deccan Chargers|2007_08,#N/A
R Dravid,Royal Challengers Bangalore,20.87,0,20.87,20.87,2007_08,2007_08,R Dravid|Royal Challengers Bangalore,R Dravid|Royal Challengers Bangalore|2007_08,#N/A
RG Sharma,Deccan Chargers,48.06,5.73,53.79,53.79,2007_08,2007_08,RG Sharma|Deccan Chargers,RG Sharma|Deccan Chargers|2007_08,#N/A
RP Singh,Deccan Chargers,-3.17,-136.65,-139.82,-139.82,2007_08,2007_08,RP Singh|Deccan Chargers,RP Singh|Deccan Chargers|2007_08,#N/A
RV Uthappa,Mumbai Indians,-46.15,0,-46.15,-46.15,2007_08,2007_08,RV Uthappa|Mumbai Indians,RV Uthappa|Mumbai Indians|2007_08,#N/A
S Dhawan,Delhi Daredevils,-39.34,0,-39.34,-39.34,2007_08,2007_08,S Dhawan|Delhi Daredevils,S Dhawan|Delhi Daredevils|2007_08,#N/A
S Sreesanth,Kings XI Punjab,-1.3,-105.77,-107.07,-107.08,2007_08,2007_08,S Sreesanth|Kings XI Punjab,S Sreesanth|Kings XI Punjab|2007_08,#N/A
SA Asnodkar,Rajasthan Royals,20.32,0,20.32,20.32,2007_08,2007_08,SA Asnodkar|Rajasthan Royals,SA Asnodkar|Rajasthan Royals|2007_08,#N/A
SC Ganguly,Kolkata Knight Riders,-50.11,55.25,5.14,5.15,2007_08,2007_08,SC Ganguly|Kolkata Knight Riders,SC Ganguly|Kolkata Knight Riders|2007_08,#N/A
SE Marsh,Kings XI Punjab,32.07,0,32.07,32.07,2007_08,2007_08,SE Marsh|Kings XI Punjab,SE Marsh|Kings XI Punjab|2007_08,#N/A
SK Raina,Chennai Super Kings,52.84,-3.44,49.4,49.4,2007_08,2007_08,SK Raina|Chennai Super Kings,SK Raina|Chennai Super Kings|2007_08,#N/A
SK Trivedi,Rajasthan Royals,-0.22,-51.22,-51.44,-51.44,2007_08,2007_08,SK Trivedi|Rajasthan Royals,SK Trivedi|Rajasthan Royals|2007_08,#N/A
SK Warne,Rajasthan Royals,-1.96,40.88,38.92,38.91,2007_08,2007_08,SK Warne|Rajasthan Royals,SK Warne|Rajasthan Royals|2007_08,#N/A
SM Pollock,Mumbai Indians,11.16,140.1,151.26,151.26,2007_08,2007_08,SM Pollock|Mumbai Indians,SM Pollock|Mumbai Indians|2007_08,#N/A
SR Watson,Rajasthan Royals,44.91,102.22,147.13,147.14,2007_08,2007_08,SR Watson|Rajasthan Royals,SR Watson|Rajasthan Royals|2007_08,#N/A
ST Jayasuriya,Mumbai Indians,68.47,18.23,86.7,86.7,2007_08,2007_08,ST Jayasuriya|Mumbai Indians,ST Jayasuriya|Mumbai Indians|2007_08,#N/A
Sohail Tanvir,Rajasthan Royals,10.01,110.88,120.89,120.89,2007_08,2007_08,Sohail Tanvir|Rajasthan Royals,Sohail Tanvir|Rajasthan Royals|2007_08,#N/A
Umar Gul,Kolkata Knight Riders,16.21,-67.76,-51.55,-51.55,2007_08,2007_08,Umar Gul|Kolkata Knight Riders,Umar Gul|Kolkata Knight Riders|2007_08,#N/A
V Sehwag,Delhi Daredevils,123.91,-132.66,-8.75,-8.75,2007_08,2007_08,V Sehwag|Delhi Daredevils,V Sehwag|Delhi Daredevils|2007_08,#N/A
VRV Singh,Kings XI Punjab,1.49,-102.36,-100.87,-100.87,2007_08,2007_08,VRV Singh|Kings XI Punjab,VRV Singh|Kings XI Punjab|2007_08,#N/A
VY Mahesh,Delhi Daredevils,2.83,-116.53,-113.7,-113.7,2007_08,2007_08,VY Mahesh|Delhi Daredevils,VY Mahesh|Delhi Daredevils|2007_08,#N/A
Y Venugopal Rao,Deccan Chargers,-3.17,-42.36,-45.53,-45.53,2007_08,2007_08,Y Venugopal Rao|Deccan Chargers,Y Venugopal Rao|Deccan Chargers|2007_08,#N/A
YK Pathan,Rajasthan Royals,82.37,-33.88,48.49,48.49,2007_08,2007_08,YK Pathan|Rajasthan Royals,YK Pathan|Rajasthan Royals|2007_08,#N/A
Yuvraj Singh,Kings XI Punjab,47.73,-25.9,21.83,21.83,2007_08,2007_08,Yuvraj Singh|Kings XI Punjab,Yuvraj Singh|Kings XI Punjab|2007_08,#N/A
Z Khan,Royal Challengers Bangalore,-2.05,-100.1,-102.15,-102.15,2007_08,2007_08,Z Khan|Royal Challengers Bangalore,Z Khan|Royal Challengers Bangalore|2007_08,#N/A
A Kumble,Royal Challengers Bangalore,-0.65,221.27,220.62,220.62,2009_10,2010,A Kumble|Royal Challengers Bangalore,A Kumble|Royal Challengers Bangalore|2010,500000
A Symonds,Deccan Chargers,-20.85,57.76,36.91,36.91,2009_10,2010,A Symonds|Deccan Chargers,A Symonds|Deccan Chargers|2010,1350000
AC Gilchrist,Deccan Chargers,29.75,0,29.75,29.75,2009_10,2010,AC Gilchrist|Deccan Chargers,AC Gilchrist|Deccan Chargers|2010,700000
AD Mathews,Kolkata Knight Riders,-13.88,-72.97,-86.85,-86.85,2009_10,2010,AD Mathews|Kolkata Knight Riders,AD Mathews|Kolkata Knight Riders|2010,#N/A
AT Rayudu,Mumbai Indians,30.41,0,30.41,30.41,2009_10,2010,AT Rayudu|Mumbai Indians,AT Rayudu|Mumbai Indians|2010,#N/A
CH Gayle,Kolkata Knight Riders,34.33,-59.3,-24.97,-24.97,2009_10,2010,CH Gayle|Kolkata Knight Riders,CH Gayle|Kolkata Knight Riders|2010,#N/A
DE Bollinger,Chennai Super Kings,4.15,97.38,101.53,101.54,2009_10,2010,DE Bollinger|Chennai Super Kings,DE Bollinger|Chennai Super Kings|2010,#N/A
DPMD Jayawardene,Kings XI Punjab,58.32,0,58.32,58.32,2009_10,2010,DPMD Jayawardene|Kings XI Punjab,DPMD Jayawardene|Kings XI Punjab|2010,475000
DW Steyn,Royal Challengers Bangalore,-0.85,151.31,150.46,150.47,2009_10,2010,DW Steyn|Royal Challengers Bangalore,DW Steyn|Royal Challengers Bangalore|2010,325000
HH Gibbs,Deccan Chargers,-16.33,0,-16.33,-16.33,2009_10,2010,HH Gibbs|Deccan Chargers,HH Gibbs|Deccan Chargers|2010,575000
Harbhajan Singh,Mumbai Indians,21.58,99.61,121.19,121.2,2009_10,2010,Harbhajan Singh|Mumbai Indians,Harbhajan Singh|Mumbai Indians|2010,850000
IK Pathan,Kings XI Punjab,51.17,-215.96,-164.79,-164.79,2009_10,2010,IK Pathan|Kings XI Punjab,IK Pathan|Kings XI Punjab|2010,925000
JA Morkel,Chennai Super Kings,32.79,-93.7,-60.91,-60.91,2009_10,2010,JA Morkel|Chennai Super Kings,JA Morkel|Chennai Super Kings|2010,675000
JH Kallis,Royal Challengers Bangalore,-79.92,-83.33,-163.25,-163.25,2009_10,2010,JH Kallis|Royal Challengers Bangalore,JH Kallis|Royal Challengers Bangalore|2010,900000
KA Pollard,Mumbai Indians,67.06,-11.86,55.2,55.2,2009_10,2010,KA Pollard|Mumbai Indians,KA Pollard|Mumbai Indians|2010,750000
KC Sangakkara,Kings XI Punjab,26.08,0,26.08,26.08,2009_10,2010,KC Sangakkara|Kings XI Punjab,KC Sangakkara|Kings XI Punjab|2010,700000
KP Pietersen,Royal Challengers Bangalore,37.87,-2.98,34.89,34.89,2009_10,2010,KP Pietersen|Royal Challengers Bangalore,KP Pietersen|Royal Challengers Bangalore|2010,1550000
M Muralitharan,Chennai Super Kings,-0.63,52.21,51.58,51.58,2009_10,2010,M Muralitharan|Chennai Super Kings,M Muralitharan|Chennai Super Kings|2010,600000
M Vijay,Chennai Super Kings,67.63,0,67.63,67.63,2009_10,2010,M Vijay|Chennai Super Kings,M Vijay|Chennai Super Kings|2010,#N/A
MJ Lumb,Rajasthan Royals,31.39,0,31.39,31.39,2009_10,2010,MJ Lumb|Rajasthan Royals,MJ Lumb|Rajasthan Royals|2010,#N/A
MK Pandey,Royal Challengers Bangalore,-2.81,0,-2.81,-2.81,2009_10,2010,MK Pandey|Royal Challengers Bangalore,MK Pandey|Royal Challengers Bangalore|2010,#N/A
MK Tiwary,Kolkata Knight Riders,1.77,-2.95,-1.18,-1.18,2009_10,2010,MK Tiwary|Kolkata Knight Riders,MK Tiwary|Kolkata Knight Riders|2010,675000
ML Hayden,Chennai Super Kings,-37.32,0,-37.32,-37.32,2009_10,2010,ML Hayden|Chennai Super Kings,ML Hayden|Chennai Super Kings|2010,375000
MS Bisla,Kings XI Punjab,-19.91,0,-19.91,-19.91,2009_10,2010,MS Bisla|Kings XI Punjab,MS Bisla|Kings XI Punjab|2010,#N/A
MS Dhoni,Chennai Super Kings,19.41,0,19.41,19.41,2009_10,2010,MS Dhoni|Chennai Super Kings,MS Dhoni|Chennai Super Kings|2010,1500000
NV Ojha,Rajasthan Royals,29.53,0,29.53,29.53,2009_10,2010,NV Ojha|Rajasthan Royals,NV Ojha|Rajasthan Royals|2010,#N/A
P Kumar,Royal Challengers Bangalore,-5.22,-125.75,-130.97,-130.96,2009_10,2010,P Kumar|Royal Challengers Bangalore,P Kumar|Royal Challengers Bangalore|2010,#N/A
PP Chawla,Kings XI Punjab,-6.08,9.4,3.32,3.31,2009_10,2010,PP Chawla|Kings XI Punjab,PP Chawla|Kings XI Punjab|2010,400000
PP Ojha,Deccan Chargers,-3.52,79.33,75.81,75.81,2009_10,2010,PP Ojha|Deccan Chargers,PP Ojha|Deccan Chargers|2010,#N/A
R Ashwin,Chennai Super Kings,-16.09,233.16,217.07,217.07,2009_10,2010,R Ashwin|Chennai Super Kings,R Ashwin|Chennai Super Kings|2010,#N/A
R Dravid,Royal Challengers Bangalore,15.8,0,15.8,15.8,2009_10,2010,R Dravid|Royal Challengers Bangalore,R Dravid|Royal Challengers Bangalore|2010,#N/A
R Vinay Kumar,Royal Challengers Bangalore,-8.13,-89.01,-97.14,-97.14,2009_10,2010,R Vinay Kumar|Royal Challengers Bangalore,R Vinay Kumar|Royal Challengers Bangalore|2010,#N/A
RG Sharma,Deccan Chargers,-13.67,-30.34,-44.01,-44.01,2009_10,2010,RG Sharma|Deccan Chargers,RG Sharma|Deccan Chargers|2010,750000
RJ Harris,Deccan Chargers,1.37,8.71,10.08,10.08,2009_10,2010,RJ Harris|Deccan Chargers,RJ Harris|Deccan Chargers|2010,#N/A
RP Singh,Deccan Chargers,-1.19,-190.63,-191.82,-191.82,2009_10,2010,RP Singh|Deccan Chargers,RP Singh|Deccan Chargers|2010,875000
RS Bopara,Kings XI Punjab,-32.8,-59.9,-92.7,-92.7,2009_10,2010,RS Bopara|Kings XI Punjab,RS Bopara|Kings XI Punjab|2010,450000
RV Uthappa,Royal Challengers Bangalore,81.77,0,81.77,81.77,2009_10,2010,RV Uthappa|Royal Challengers Bangalore,RV Uthappa|Royal Challengers Bangalore|2010,800000
S Badrinath,Chennai Super Kings,-42.5,0,-42.5,-42.5,2009_10,2010,S Badrinath|Chennai Super Kings,S Badrinath|Chennai Super Kings|2010,#N/A
SB Jakati,Chennai Super Kings,0,-14.73,-14.73,-14.73,2009_10,2010,SB Jakati|Chennai Super Kings,SB Jakati|Chennai Super Kings|2010,#N/A
SC Ganguly,Kolkata Knight Riders,-52.01,-21.64,-73.65,-73.65,2009_10,2010,SC Ganguly|Kolkata Knight Riders,SC Ganguly|Kolkata Knight Riders|2010,#N/A
SK Raina,Chennai Super Kings,23.67,21.86,45.53,45.53,2009_10,2010,SK Raina|Chennai Super Kings,SK Raina|Chennai Super Kings|2010,650000
SL Malinga,Mumbai Indians,0.49,84.54,85.03,85.03,2009_10,2010,SL Malinga|Mumbai Indians,SL Malinga|Mumbai Indians|2010,#N/A
SR Tendulkar,Mumbai Indians,24.8,0,24.8,24.8,2009_10,2010,SR Tendulkar|Mumbai Indians,SR Tendulkar|Mumbai Indians|2010,#N/A
SS Tiwary,Mumbai Indians,2.68,0,2.68,2.68,2009_10,2010,SS Tiwary|Mumbai Indians,SS Tiwary|Mumbai Indians|2010,#N/A
SW Tait,Rajasthan Royals,0,-33.29,-33.29,-33.29,2009_10,2010,SW Tait|Rajasthan Royals,SW Tait|Rajasthan Royals|2010,#N/A
TL Suman,Deccan Chargers,-33.65,-15.77,-49.42,-49.42,2009_10,2010,TL Suman|Deccan Chargers,TL Suman|Deccan Chargers|2010,#N/A
V Kohli,Royal Challengers Bangalore,35.86,-18.75,17.11,17.12,2009_10,2010,V Kohli|Royal Challengers Bangalore,V Kohli|Royal Challengers Bangalore|2010,#N/A
YK Pathan,Rajasthan Royals,58.12,-10.02,48.1,48.1,2009_10,2010,YK Pathan|Rajasthan Royals,YK Pathan|Rajasthan Royals|2010,475000
Yuvraj Singh,Kings XI Punjab,2.09,16.1,18.19,18.18,2009_10,2010,Yuvraj Singh|Kings XI Punjab,Yuvraj Singh|Kings XI Punjab|2010,#N/A
Z Khan,Mumbai Indians,10.95,20.23,31.18,31.18,2009_10,2010,Z Khan|Mumbai Indians,Z Khan|Mumbai Indians|2010,450000
A Kumble,Royal Challengers Bangalore,2.67,225.66,228.33,228.32,2009,2009,A Kumble|Royal Challengers Bangalore,A Kumble|Royal Challengers Bangalore|2009,500000
A Mishra,Delhi Daredevils,3.71,16.56,20.27,20.27,2009,2009,A Mishra|Delhi Daredevils,A Mishra|Delhi Daredevils|2009,#N/A
A Nehra,Delhi Daredevils,0.33,49.65,49.98,49.98,2009,2009,A Nehra|Delhi Daredevils,A Nehra|Delhi Daredevils|2009,#N/A
A Symonds,Deccan Chargers,46.88,36.7,83.58,83.58,2009,2009,A Symonds|Deccan Chargers,A Symonds|Deccan Chargers|2009,1350000
AB de Villiers,Delhi Daredevils,31.97,0,31.97,31.97,2009,2009,AB de Villiers|Delhi Daredevils,AB de Villiers|Delhi Daredevils|2009,300000
AC Gilchrist,Deccan Chargers,111.55,0,111.55,111.55,2009,2009,AC Gilchrist|Deccan Chargers,AC Gilchrist|Deccan Chargers|2009,700000
BB McCullum,Kolkata Knight Riders,3.81,0,3.81,3.81,2009,2009,BB McCullum|Kolkata Knight Riders,BB McCullum|Kolkata Knight Riders|2009,700000
BJ Hodge,Kolkata Knight Riders,-9.68,-70.33,-80.01,-80.01,2009,2009,BJ Hodge|Kolkata Knight Riders,BJ Hodge|Kolkata Knight Riders|2009,#N/A
DJ Bravo,Mumbai Indians,-21.18,-73.53,-94.71,-94.71,2009,2009,DJ Bravo|Mumbai Indians,DJ Bravo|Mumbai Indians|2009,#N/A
DP Nannes,Delhi Daredevils,0,-72.78,-72.78,-72.78,2009,2009,DP Nannes|Delhi Daredevils,DP Nannes|Delhi Daredevils|2009,#N/A
DPMD Jayawardene,Kings XI Punjab,12.77,0,12.77,12.77,2009,2009,DPMD Jayawardene|Kings XI Punjab,DPMD Jayawardene|Kings XI Punjab|2009,475000
DR Smith,Deccan Chargers,57.43,-89.52,-32.09,-32.09,2009,2009,DR Smith|Deccan Chargers,DR Smith|Deccan Chargers|2009,100000
G Gambhir,Delhi Daredevils,-35.08,0,-35.08,-35.08,2009,2009,G Gambhir|Delhi Daredevils,G Gambhir|Delhi Daredevils|2009,725000
GC Smith,Rajasthan Royals,-39.64,0,-39.64,-39.64,2009,2009,GC Smith|Rajasthan Royals,GC Smith|Rajasthan Royals|2009,250000
HH Gibbs,Deccan Chargers,-9.07,0,-9.07,-9.07,2009,2009,HH Gibbs|Deccan Chargers,HH Gibbs|Deccan Chargers|2009,575000
Harbhajan Singh,Mumbai Indians,20.48,122.65,143.13,143.12,2009,2009,Harbhajan Singh|Mumbai Indians,Harbhajan Singh|Mumbai Indians|2009,850000
I Sharma,Kolkata Knight Riders,1.51,22.28,23.79,23.8,2009,2009,I Sharma|Kolkata Knight Riders,I Sharma|Kolkata Knight Riders|2009,950000
IK Pathan,Kings XI Punjab,32.26,-103.2,-70.94,-70.95,2009,2009,IK Pathan|Kings XI Punjab,IK Pathan|Kings XI Punjab|2009,925000
JA Morkel,Chennai Super Kings,8.95,-113.93,-104.98,-104.98,2009,2009,JA Morkel|Chennai Super Kings,JA Morkel|Chennai Super Kings|2009,675000
JH Kallis,Royal Challengers Bangalore,-36.11,-92.14,-128.25,-128.25,2009,2009,JH Kallis|Royal Challengers Bangalore,JH Kallis|Royal Challengers Bangalore|2009,900000
JP Duminy,Mumbai Indians,-6.6,87.46,80.86,80.86,2009,2009,JP Duminy|Mumbai Indians,JP Duminy|Mumbai Indians|2009,950000
KC Sangakkara,Kings XI Punjab,-63.2,0,-63.2,-63.2,2009,2009,KC Sangakkara|Kings XI Punjab,KC Sangakkara|Kings XI Punjab|2009,700000
KD Karthik,Delhi Daredevils,24.61,0,24.61,24.61,2009,2009,KD Karthik|Delhi Daredevils,KD Karthik|Delhi Daredevils|2009,525000
L Balaji,Chennai Super Kings,-5.04,-150.19,-155.23,-155.23,2009,2009,L Balaji|Chennai Super Kings,L Balaji|Chennai Super Kings|2009,#N/A
LRPL Taylor,Royal Challengers Bangalore,25.49,-5.63,19.86,19.86,2009,2009,LRPL Taylor|Royal Challengers Bangalore,LRPL Taylor|Royal Challengers Bangalore|2009,#N/A
M Muralitharan,Chennai Super Kings,2.67,281.2,283.87,283.87,2009,2009,M Muralitharan|Chennai Super Kings,M Muralitharan|Chennai Super Kings|2009,600000
ML Hayden,Chennai Super Kings,108.39,0,108.39,108.39,2009,2009,ML Hayden|Chennai Super Kings,ML Hayden|Chennai Super Kings|2009,375000
MM Patel,Rajasthan Royals,10.91,23.28,34.19,34.19,2009,2009,MM Patel|Rajasthan Royals,MM Patel|Rajasthan Royals|2009,275000
MS Dhoni,Chennai Super Kings,33.69,0,33.69,33.69,2009,2009,MS Dhoni|Chennai Super Kings,MS Dhoni|Chennai Super Kings|2009,1500000
P Kumar,Royal Challengers Bangalore,23.4,-120.8,-97.4,-97.39,2009,2009,P Kumar|Royal Challengers Bangalore,P Kumar|Royal Challengers Bangalore|2009,#N/A
PJ Sangwan,Delhi Daredevils,-3.04,-98.27,-101.31,-101.31,2009,2009,PJ Sangwan|Delhi Daredevils,PJ Sangwan|Delhi Daredevils|2009,#N/A
PP Chawla,Kings XI Punjab,-4.27,32.37,28.1,28.1,2009,2009,PP Chawla|Kings XI Punjab,PP Chawla|Kings XI Punjab|2009,400000
PP Ojha,Deccan Chargers,-4.95,75.14,70.19,70.19,2009,2009,PP Ojha|Deccan Chargers,PP Ojha|Deccan Chargers|2009,#N/A
R Bhatia,Delhi Daredevils,-10.09,3.69,-6.4,-6.39,2009,2009,R Bhatia|Delhi Daredevils,R Bhatia|Delhi Daredevils|2009,#N/A
R Dravid,Royal Challengers Bangalore,-11.49,0,-11.49,-11.49,2009,2009,R Dravid|Royal Challengers Bangalore,R Dravid|Royal Challengers Bangalore|2009,#N/A
RA Jadeja,Rajasthan Royals,17.69,28.93,46.62,46.62,2009,2009,RA Jadeja|Rajasthan Royals,RA Jadeja|Rajasthan Royals|2009,#N/A
RG Sharma,Deccan Chargers,-27.61,11.61,-16,-16,2009,2009,RG Sharma|Deccan Chargers,RG Sharma|Deccan Chargers|2009,750000
RP Singh,Deccan Chargers,-7.37,2.02,-5.35,-5.35,2009,2009,RP Singh|Deccan Chargers,RP Singh|Deccan Chargers|2009,875000
SB Jakati,Chennai Super Kings,2.17,-49.24,-47.07,-47.07,2009,2009,SB Jakati|Chennai Super Kings,SB Jakati|Chennai Super Kings|2009,#N/A
SK Raina,Chennai Super Kings,58.14,85.64,143.78,143.77,2009,2009,SK Raina|Chennai Super Kings,SK Raina|Chennai Super Kings|2009,650000
SK Warne,Rajasthan Royals,1.3,-17.43,-16.13,-16.14,2009,2009,SK Warne|Rajasthan Royals,SK Warne|Rajasthan Royals|2009,450000
SL Malinga,Mumbai Indians,-0.67,54.44,53.77,53.77,2009,2009,SL Malinga|Mumbai Indians,SL Malinga|Mumbai Indians|2009,#N/A
SR Tendulkar,Mumbai Indians,15.97,-15.99,-0.02,-0.02,2009,2009,SR Tendulkar|Mumbai Indians,SR Tendulkar|Mumbai Indians|2009,#N/A
ST Jayasuriya,Mumbai Indians,-12.26,-54.72,-66.98,-66.98,2009,2009,ST Jayasuriya|Mumbai Indians,ST Jayasuriya|Mumbai Indians|2009,975000
TL Suman,Deccan Chargers,18.23,5.21,23.44,23.44,2009,2009,TL Suman|Deccan Chargers,TL Suman|Deccan Chargers|2009,#N/A
TM Dilshan,Delhi Daredevils,-3.96,34.94,30.98,30.98,2009,2009,TM Dilshan|Delhi Daredevils,TM Dilshan|Delhi Daredevils|2009,250000
V Kohli,Royal Challengers Bangalore,-18.57,-1.76,-20.33,-20.33,2009,2009,V Kohli|Royal Challengers Bangalore,V Kohli|Royal Challengers Bangalore|2009,#N/A
YA Abdulla,Kings XI Punjab,0,-89.73,-89.73,-89.73,2009,2009,YA Abdulla|Kings XI Punjab,YA Abdulla|Kings XI Punjab|2009,#N/A
YK Pathan,Rajasthan Royals,35.23,14.28,49.51,49.51,2009,2009,YK Pathan|Rajasthan Royals,YK Pathan|Rajasthan Royals|2009,475000
Yuvraj Singh,Kings XI Punjab,-36.5,5.47,-31.03,-31.02,2009,2009,Yuvraj Singh|Kings XI Punjab,Yuvraj Singh|Kings XI Punjab|2009,#N/A
A Mishra,Deccan Chargers,17.65,60.74,78.39,78.39,2011,2011,A Mishra|Deccan Chargers,A Mishra|Deccan Chargers|2011,300000
AB de Villiers,Royal Challengers Bangalore,21.7,0,21.7,21.7,2011,2011,AB de Villiers|Royal Challengers Bangalore,AB de Villiers|Royal Challengers Bangalore|2011,1100000
AC Gilchrist,Kings XI Punjab,14.6,0,14.6,14.6,2011,2011,AC Gilchrist|Kings XI Punjab,AC Gilchrist|Kings XI Punjab|2011,900000
AC Thomas,Pune Warriors,-0.58,-63.84,-64.42,-64.42,2011,2011,AC Thomas|Pune Warriors,AC Thomas|Pune Warriors|2011,100000
AT Rayudu,Mumbai Indians,-7.57,0,-7.57,-7.57,2011,2011,AT Rayudu|Mumbai Indians,AT Rayudu|Mumbai Indians|2011,#N/A
B Chipli,Deccan Chargers,8.29,-12.57,-4.28,-4.28,2011,2011,B Chipli|Deccan Chargers,B Chipli|Deccan Chargers|2011,#N/A
BB McCullum,Kochi Tuskers Kerala,0.69,0,0.69,0.69,2011,2011,BB McCullum|Kochi Tuskers Kerala,BB McCullum|Kochi Tuskers Kerala|2011,475000
BJ Hodge,Kochi Tuskers Kerala,-8.06,4.7,-3.36,-3.37,2011,2011,BJ Hodge|Kochi Tuskers Kerala,BJ Hodge|Kochi Tuskers Kerala|2011,425000
CH Gayle,Royal Challengers Bangalore,194.1,-0.1,194,194,2011,2011,CH Gayle|Royal Challengers Bangalore,CH Gayle|Royal Challengers Bangalore|2011,650000
DE Bollinger,Chennai Super Kings,-0.4,-21.62,-22.02,-22.02,2011,2011,DE Bollinger|Chennai Super Kings,DE Bollinger|Chennai Super Kings|2011,700000
DL Vettori,Royal Challengers Bangalore,-4.47,181.12,176.65,176.64,2011,2011,DL Vettori|Royal Challengers Bangalore,DL Vettori|Royal Challengers Bangalore|2011,550000
DPMD Jayawardene,Kochi Tuskers Kerala,-16.66,0,-16.66,-16.66,2011,2011,DPMD Jayawardene|Kochi Tuskers Kerala,DPMD Jayawardene|Kochi Tuskers Kerala|2011,1500000
DW Steyn,Deccan Chargers,3.26,63.68,66.94,66.93,2011,2011,DW Steyn|Deccan Chargers,DW Steyn|Deccan Chargers|2011,1200000
G Gambhir,Kolkata Knight Riders,-22.33,0,-22.33,-22.33,2011,2011,G Gambhir|Kolkata Knight Riders,G Gambhir|Kolkata Knight Riders|2011,2400000
