Player,Team,batting_score,bowling_score,overall_score,Overall E(D),Season,Season_Adj,Player_team,Player_team_season,Salaries
Shubman Gill,Kolkata Knight Riders,-21.43,0,-21.43,-21.43,2019,2019,Shubman Gill|Kolkata Knight Riders,Shubman Gill|Kolkata Knight Riders|2019,281250
V Kohli,Royal Challengers Bangalore,6.53,0,6.53,6.53,2019,2019,V Kohli|Royal Challengers Bangalore,V Kohli|Royal Challengers Bangalore|2019,2656250
V Shankar,Sunrisers Hyderabad,-29.69,-11.33,-41.02,-41.02,2019,2019,V Shankar|Sunrisers Hyderabad,V Shankar|Sunrisers Hyderabad|2019,500000
YS Chahal,Royal Challengers Bangalore,-6.55,-7.84,-14.39,-14.39,2019,2019,YS Chahal|Royal Challengers Bangalore,YS Chahal|Royal Challengers Bangalore|2019,937500
A Nortje,Delhi Capitals,0.76,-162.93,-162.17,-162.17,2020_21,2020,A Nortje|Delhi Capitals,A Nortje|Delhi Capitals|2020,28600
AB de Villiers,Royal Challengers Bangalore,33.03,0,33.03,33.03,2020_21,2020,AB de Villiers|Royal Challengers Bangalore,AB de Villiers|Royal Challengers Bangalore|2020,1718750
AJ Finch,Royal Challengers Bangalore,-58.3,0,-58.3,-58.3,2020_21,2020,AJ Finch|Royal Challengers Bangalore,AJ Finch|Royal Challengers Bangalore|2020,628600
AT Rayudu,Chennai Super Kings,-13.95,0,-13.95,-13.95,2020_21,2020,AT Rayudu|Chennai Super Kings,AT Rayudu|Chennai Super Kings|2020,343750
BA Stokes,Rajasthan Royals,40.86,-136.03,-95.17,-95.17,2020_21,2020,BA Stokes|Rajasthan Royals,BA Stokes|Rajasthan Royals|2020,1953130
CH Gayle,Kings XI Punjab,4.64,1.7,6.34,6.34,2020_21,2020,CH Gayle|Kings XI Punjab,CH Gayle|Kings XI Punjab|2020,312500
CV Varun,Kolkata Knight Riders,-1.29,176.57,175.28,175.27,2020_21,2020,CV Varun|Kolkata Knight Riders,CV Varun|Kolkata Knight Riders|2020,1200000
D Padikkal,Royal Challengers Bangalore,-29,0,-29,-29,2020_21,2020,D Padikkal|Royal Challengers Bangalore,D Padikkal|Royal Challengers Bangalore|2020,28600
DA Warner,Sunrisers Hyderabad,-6.89,-0.66,-7.55,-7.56,2020_21,2020,DA Warner|Sunrisers Hyderabad,DA Warner|Sunrisers Hyderabad|2020,1953130
DL Chahar,Chennai Super Kings,-8.23,25.52,17.29,17.29,2020_21,2020,DL Chahar|Chennai Super Kings,DL Chahar|Chennai Super Kings|2020,125000
EJG Morgan,Kolkata Knight Riders,43.37,0,43.37,43.37,2020_21,2020,EJG Morgan|Kolkata Knight Riders,EJG Morgan|Kolkata Knight Riders|2020,750000
F du Plessis,Chennai Super Kings,17.42,0,17.42,17.42,2020_21,2020,F du Plessis|Chennai Super Kings,F du Plessis|Chennai Super Kings|2020,250000
HH Pandya,Mumbai Indians,57.68,0,57.68,57.68,2020_21,2020,HH Pandya|Mumbai Indians,HH Pandya|Mumbai Indians|2020,1718750
Ishan Kishan,Mumbai Indians,24.13,0,24.13,24.13,2020_21,2020,Ishan Kishan|Mumbai Indians,Ishan Kishan|Mumbai Indians|2020,968750
JC Archer,Rajasthan Royals,32.33,230.53,262.86,262.87,2020_21,2020,JC Archer|Rajasthan Royals,JC Archer|Rajasthan Royals|2020,1125000
JC Buttler,Rajasthan Royals,33.77,0,33.77,33.77,2020_21,2020,JC Buttler|Rajasthan Royals,JC Buttler|Rajasthan Royals|2020,687500
JJ Bumrah,Mumbai Indians,3.8,144.15,147.95,147.95,2020_21,2020,JJ Bumrah|Mumbai Indians,JJ Bumrah|Mumbai Indians|2020,1093750
JL Pattinson,Mumbai Indians,1.49,-112.57,-111.08,-111.08,2020_21,2020,JL Pattinson|Mumbai Indians,JL Pattinson|Mumbai Indians|2020,100000
JM Bairstow,Sunrisers Hyderabad,-27.55,0,-27.55,-27.55,2020_21,2020,JM Bairstow|Sunrisers Hyderabad,JM Bairstow|Sunrisers Hyderabad|2020,314300
