name,batting_score,bowling_score,overall_score,salary,team,season
SR Watson,83.23,162.07,245.3,1300000,Rajasthan Royals,2013
V Kohli,93.66,0,93.66,1800000,Royal Challengers Bangalore,2013
V Sehwag,7.91,0.39,8.3,1800000,Delhi Daredevils,2013
YK Pathan,26.21,28.26,54.47,2100000,Kolkata Knight Riders,2013
Yuvraj Singh,10.92,54.65,65.57,1800000,Pune Warriors,2013
AB de Villiers,56.95,0,56.95,1583333,Royal Challengers Bangalore,2014
AJ Finch,-30.31,0,-30.31,666000,Sunrisers Hyderabad,2014
AM Rahane,-33.1,0,-33.1,1333333,Rajasthan Royals,2014
AR Patel,-16.37,278.35,261.98,125000,Kings XI Punjab,2014
B Kumar,-0.76,173.66,172.9,708000,Sunrisers Hyderabad,2014
BB McCullum,-18.81,0,-18.81,541000,Chennai Super Kings,2014
CJ Anderson,26.45,-144.11,-117.66,750000,Mumbai Indians,2014
DA Miller,39.02,0,39.02,833333,Kings XI Punjab,2014
DA Warner,46.04,0,46.04,916000,Sunrisers Hyderabad,2014
DR Smith,20.3,-19.39,0.91,750000,Chennai Super Kings,2014
DW Steyn,-3.82,-2.78,-6.6,1200000,Sunrisers Hyderabad,2014
F du Plessis,22.78,0,22.78,791000,Chennai Super Kings,2014
G Gambhir,-21.02,0,-21.02,1666667,Kolkata Knight Riders,2014
GJ Bailey,13.32,0,13.32,541000,Kings XI Punjab,2014
GJ Maxwell,127.53,-91.06,36.47,1000000,Kings XI Punjab,2014
Harbhajan Singh,2.18,213.1,215.28,1333333,Mumbai Indians,2014
JD Unadkat,-1.65,-99.2,-100.85,466000,Delhi Daredevils,2014
JP Duminy,-2.28,65.32,63.04,366000,Delhi Daredevils,2014
JP Faulkner,45.03,-286.3,-241.27,850000,Rajasthan Royals,2014
KA Pollard,-9.98,-201.51,-211.49,900000,Mumbai Indians,2014
KD Karthik,-9.74,0,-9.74,2083000,Delhi Daredevils,2014
KK Nair,26.04,0,26.04,125000,Rajasthan Royals,2014
KP Pietersen,-4.42,0,-4.42,1500000,Delhi Daredevils,2014
KV Sharma,10.23,3.95,14.18,625000,Sunrisers Hyderabad,2014
Karanveer Singh,0.09,-4.57,-4.48,16000,Kings XI Punjab,2014
L Balaji,-1.72,-115.6,-117.32,300000,Kings XI Punjab,2014
M Morkel,2.24,10.54,12.78,466000,Kolkata Knight Riders,2014
M Vijay,-38.98,-4.9,-43.88,833000,Delhi Daredevils,2014
M Vohra,35.4,0,35.4,58333,Kings XI Punjab,2014
MA Starc,-3.96,-21.57,-25.53,833000,Royal Challengers Bangalore,2014
MEK Hussey,-12.18,0,-12.18,833000,Mumbai Indians,2014
MG Johnson,-9.52,-74.19,-83.71,1083000,Kings XI Punjab,2014
MK Pandey,-51.43,0,-51.43,283000,Kolkata Knight Riders,2014
MM Sharma,-1.98,-96.57,-98.55,333000,Chennai Super Kings,2014
MS Dhoni,44.82,0,44.82,2083333,Chennai Super Kings,2014
NV Ojha,30.93,0,30.93,83000,Sunrisers Hyderabad,2014
PA Patel,-20.91,0,-20.91,233000,Royal Challengers Bangalore,2014
PP Chawla,9.82,40.82,50.64,708000,Kolkata Knight Riders,2014
PV Tambe,-0.09,43.79,43.7,16000,Rajasthan Royals,2014
R Ashwin,2.11,63.22,65.33,1250000,Chennai Super Kings,2014
R Bhatia,13.22,-4.14,9.08,283000,Rajasthan Royals,2014
R Dhawan,2.57,7.42,9.99,500000,Kings XI Punjab,2014
RA Jadeja,3.88,-31.83,-27.95,916667,Chennai Super Kings,2014
RG Sharma,1.31,-1.71,-0.4,1916667,Mumbai Indians,2014
RV Uthappa,54.43,0,54.43,833000,Kolkata Knight Riders,2014
S Dhawan,-48.8,0,-48.8,2083333,Sunrisers Hyderabad,2014
